Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
13.100.57,False,False,True,35981,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman,China,Ming (1368–1644) or Qing dynasty (1644–1911),,,,1212,Artist, ,Shen Hao,"Chinese, active 1630–50", ,Shen Hao,Chinese,1630      ,1650      ,,(not assigned),https://www.wikidata.org/wiki/Q3481864,,1630,1650,Folding fan mounted as an album leaf; ink on gold paper,6 5/8 x 20 1/4 in. (16.8 x 51.4 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35981,https://www.wikidata.org/wiki/Q79002654,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.61,False,False,True,35984,,Asian Art,1913.0,Folding fan mounted as an album leaf,明   宋懋晉   樓居圖   扇|Dwelling in Landscape,China,Ming dynasty (1368–1644),,,,120443750,Artist|Artist,After| ,Song Maojin|Unidentified artist,"Chinese, active late 16th century–early 17th century| ", | ,Song Maojin|Unidentified artist,Chinese| ,1571      |          ,1635      |          ,|,(not assigned)|,https://www.wikidata.org/wiki/Q7561022|,17th century,1600,1644,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 18 1/4 in. (15.9 x 46.4 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35984,https://www.wikidata.org/wiki/Q79002542,,"Metropolitan Museum of Art, New York, NY",Landscapes|Trees,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884
13.100.65,False,False,True,35986,,Asian Art,1913.0,Folding fan mounted as an album leaf,明    程嘉燧   園鷄圖   扇|Landscape with Chicken,China,Ming (1368–1644)–Qing (1644–1911) dynasty,,,,1204,Artist,Attributed to,Cheng Jiasui,"Chinese, 1565–1644", ,Cheng Jiasui,Chinese,1565      ,1644      ,,,https://www.wikidata.org/wiki/Q1022213,,1368,1911,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 20 3/8 in. (16.5 x 51.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35986,https://www.wikidata.org/wiki/Q79002377,,"Metropolitan Museum of Art, New York, NY",Roosters,http://vocab.getty.edu/page/aat/300380127,https://www.wikidata.org/wiki/Q2216236
13.100.70,False,False,True,35988,,Asian Art,1913.0,Folding fan mounted as an album leaf,明　李流芳　疏林小景　扇|Figure standing in a grove of trees,China,Ming dynasty (1368–1644),,,,1206,Artist, ,Li Liufang,"Chinese, 1575–1629", ,Li Liufang,Chinese,1575      ,1629      ,,http://vocab.getty.edu/page/ulan/500321500,https://www.wikidata.org/wiki/Q3237555,1613,1613,1613,Folding fan mounted as an album leaf; ink on gold paper,7 7/32 x 21 7/8 in. (18.4 x 55.6 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35988,https://www.wikidata.org/wiki/Q79002285,,"Metropolitan Museum of Art, New York, NY",Trees,http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q10884
13.100.75,False,False,True,35989,,Asian Art,1913.0,Folding fan mounted as an album leaf,明   陳季淳   山水人物圖  扇頁|Landscape with figure,China,Ming dynasty (1368–1644),,,,1210,Artist, ,Chen Jichun,"Chinese, active mid-17th century", ,Chen Jichun,Chinese,1633      ,1667      ,,,,1635,1635,1635,Folding fan mounted as an album leaf; ink and color on gold paper,7 3/8 × 21 3/4 in. (18.7 × 55.2 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35989,https://www.wikidata.org/wiki/Q79002188,,"Metropolitan Museum of Art, New York, NY",Pavilions|Landscapes|Trees,http://vocab.getty.edu/page/aat/300002660|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q276173|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884
13.100.77,False,False,True,35990,,Asian Art,1913.0,Folding fan mounted as an album leaf,明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples,China,Ming dynasty (1368–1644),,,,1164,Artist, ,Wu Bin,active ca. 1583–1626, ,Wu Bin,Chinese,1583      ,1626      ,,http://vocab.getty.edu/page/ulan/500328298,https://www.wikidata.org/wiki/Q453832,1603,1603,1603,Folding fan mounted as an album leaf; ink and color on paper,6 3/8 × 18 3/4 in. (16.2 × 47.6 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35990,https://www.wikidata.org/wiki/Q79002086,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.79,False,False,True,35992,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River,China,Ming dynasty (1368–1644),,,,1210,Artist, ,Pan Yunyu,"Chinese, active ca. 15th–16th century", ,Pan Yunyu,Chinese,1400      ,1599      ,,,,1604 or 1664,1604,1604,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/4 x 19 in. (15.9 x 48.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35992,https://www.wikidata.org/wiki/Q79001996,,"Metropolitan Museum of Art, New York, NY",Boats|Landscapes,http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q191163
13.100.83,False,False,True,35994,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清   祁豸佳   山水 圖|Landscape with fisherman,China,Ming dynasty (1368–1644),,,,1212,Artist, ,Qi Zhijia,"Chinese, active ca. 1627–after 1682", ,Qi Zhijia,Chinese,1627      ,1682      ,,,,1643,1643,1643,Folding fan mounted as an album leaf; ink on paper,6 1/2 x 19 1/2 in. (16.5 x 49.5 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35994,https://www.wikidata.org/wiki/Q79001897,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.85,False,False,True,35996,,Asian Art,1913.0,Folding fan mounted as an album leaf,明   張翀   花鳥圖   扇面|Bird on a flowering branch,China,Ming dynasty (1368–1644),,,,1204,Artist, ,Zhang Chong,"Chinese, active ca. 1570–1610", ,Zhang Chong,Chinese,1570      ,1610      ,,(not assigned),https://www.wikidata.org/wiki/Q11068974,late 16th or early 17th century,1570,1610,Folding fan mounted as an album leaf; ink on gold paper,6 1/2 x 19 1/4 in. (16.5 x 48.9 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35996,https://www.wikidata.org/wiki/Q79001796,,"Metropolitan Museum of Art, New York, NY",Birds|Flowers,http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506
13.100.87,False,False,True,35998,,Asian Art,1913.0,Folding fan mounted as an album leaf,明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming,China,Ming dynasty (1368–1644),,,,1207,Artist, ,Shao Mi,active ca 1620–1660, ,Shao Mi,Chinese,1620      ,1660      ,,http://vocab.getty.edu/page/ulan/500125680,https://www.wikidata.org/wiki/Q3481452,dated 1640,1640,1640,Folding fan mounted as an album leaf; ink and color on gold-flecked paper,6 1/2 × 18 3/4 in. (16.5 × 47.6 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/35998,https://www.wikidata.org/wiki/Q79001693,,"Metropolitan Museum of Art, New York, NY",Landscapes,http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q191163
13.100.89,False,False,True,36000,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清   莊冏生   山水   扇面|River Landscape,China,Qing dynasty (1644–1911),,,,1212,Artist, ,Zhuang Jiongsheng,"Chinese, born 1626", ,Zhuang Jiongsheng,Chinese,1626      ,1726      ,,,,,1644,1676,Folding fan mounted as an album leaf; ink on gold paper,6 3/8 x 19 3/4 in. (16.2 x 50.2 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36000,https://www.wikidata.org/wiki/Q79001569,,"Metropolitan Museum of Art, New York, NY",Rivers|Landscapes,http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q191163
13.100.91,False,False,True,36001,,Asian Art,1913.0,Folding fan mounted as an album leaf,明/清   文止   疏影橫斜   扇|Plum Blossoms,China,Qing dynasty (1644–1911),,,,1202,Artist, ,Wen Zhi,"Chinese, active mid-17th century", ,Wen Zhi,Chinese,1634      ,1699      ,,,,dated 1670,1670,1670,Folding fan mounted as an album leaf; ink and color on gold paper,6 1/2 x 19 3/4 in. (16.5 x 50.2 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36001,https://www.wikidata.org/wiki/Q79001474,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
13.100.93,False,False,True,36002,,Asian Art,1913.0,Folding fan mounted as an album leaf,清　吳山濤　山水圖　扇|Riverscape with moored boats,China,Qing dynasty (1644–1911),,,,1252,Artist, ,Wu Shantao,"Chinese, 1624–after 1710", ,Wu Shantao,Chinese,1624      ,1710      ,,,,late 17th or early 18th century,1667,1710,Folding fan mounted as an album leaf; ink on gold paper,6 1/4 x 18 5/8 in. (15.9 x 47.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36002,https://www.wikidata.org/wiki/Q79001365,,"Metropolitan Museum of Art, New York, NY",Landscapes|Mountains|Boats,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q35872
13.100.101,False,False,True,36004,,Asian Art,1913.0,Fan mounted as an album leaf,元末明初 佚名牧羊圖團扇頁 絹本設色|Sheep and herd boy,China,late Yuan (1271–1368)–early Ming (1368–1644) dynasty,,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,14th century,1300,1399,Fan mounted as an album leaf; ink and color on silk,9 1/2 x 9 3/4 in. (24.1 x 24.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36004,https://www.wikidata.org/wiki/Q79001242,,"Metropolitan Museum of Art, New York, NY",Boys|Sheep,http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300250284,https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q7368
13.100.102,False,True,True,36005,,Asian Art,1913.0,Album leaf,"南宋  夏珪  山市晴嵐圖  冊頁|Mountain Market, Clearing Mist",China,Southern Song dynasty (1127–1279),,,,1145,Artist, ,Xia Gui,"Chinese, active ca. 1195–1230", ,Xia Gui,Chinese,1195      ,1230      ,,http://vocab.getty.edu/page/ulan/500328333,https://www.wikidata.org/wiki/Q45436032,early 13th century,1200,1230,"Album leaf; ink on silk  
",9 3/4 x 8 3/8 in. (24.8 x 21.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36005,https://www.wikidata.org/wiki/Q79001126,,"Metropolitan Museum of Art, New York, NY",Landscapes|Mountains,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300008795,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q8502
13.100.112,False,False,True,36006,,Asian Art,1913.0,Fan mounted as an album leaf,,China,Southern Song dynasty (1127–1279),,,,,,,,,,,,,,,,,13th century,1200,1279,Fan mounted as an album leaf; ink and color on silk,9 3/8 x 9 3/5 in. (23.8 x 24.4 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36006,https://www.wikidata.org/wiki/Q79000984,,"Metropolitan Museum of Art, New York, NY",Narcissus,http://vocab.getty.edu/page/aat/300311439,https://www.wikidata.org/wiki/Q29465
13.100.117,False,False,True,36007,,Asian Art,1913.0,Fan mounted as an album leaf,南宋  佚名  雪景待渡圖  團扇|Waiting for the Ferry,China,Song dynasty (960–1279),,,,3750,Artist, ,Unidentified artist, ,Chinese,Unidentified artist, ,          ,          ,,,,early 13th century,1200,1233,Fan mounted as an album leaf; ink on silk,9 7/8 x 10 1/8 in. (25.1 x 25.7 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36007,https://www.wikidata.org/wiki/Q79000830,,"Metropolitan Museum of Art, New York, NY",Landscapes|Mountains|Snow,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300055381,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q7561
13.100.123,False,False,True,36008,,Asian Art,1913.0,Fan mounted as an album leaf,明   佚名   觀音羅漢圖   扇|Guanyin and the sixteen luohans,China,Ming dynasty (1368–1644),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,16th–17th century,1500,1644,"Round fan mounted as an album leaf; ink, color, and gold on silk",Sheet: H. 12 in. (30.5 cm); W. 12 1/4 in. (31.1 cm); Diam. 8 3/8 in. (21.3 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36008,https://www.wikidata.org/wiki/Q79000696,,"Metropolitan Museum of Art, New York, NY",Bodhisattvas|Bridges|Men|Women|Buddhism,http://vocab.getty.edu/page/aat/300264360|http://vocab.getty.edu/page/aat/300386855|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300073738,https://www.wikidata.org/wiki/Q178149|https://www.wikidata.org/wiki/Q12280|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q748
13.100.124,False,False,True,36009,,Asian Art,1913.0,Fan mounted as an album leaf,,China,Yuan dynasty (1271–1368) (?),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,late 12th century,1167,1199,Fan mounted as an album leaf; ink on silk,9 3/5 x 9 3/8 in. (24.4 x 23.8 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36009,https://www.wikidata.org/wiki/Q79000530,,"Metropolitan Museum of Art, New York, NY",Gibbons, ,https://www.wikidata.org/wiki/Q185939
13.200,False,False,True,36010,,Asian Art,1913.0,Hanging scroll,明  佚名  遊行天王圖  軸|Journey of the Tianwang (Devaradja),China,Ming dynasty (1368–1644),,,,3750,Artist, ,Unidentified artist, , ,Unidentified artist, ,          ,          ,,,,16th–17th century,1500,1699,Hanging scroll; ink and color on silk,"Image: 47 3/4 × 20 3/4 in. (121.3 × 52.7 cm)
Overall with mounting: 9 ft. 5 1/2 in. × 28 1/8 in. (288.3 × 71.4 cm)
Overall with knobs: 9 ft. 5 1/2 in. × 32 1/2 in. (288.3 × 82.6 cm)","John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36010,https://www.wikidata.org/wiki/Q79000382,,"Metropolitan Museum of Art, New York, NY",Elephants|Men,http://vocab.getty.edu/page/aat/300250160|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q7378|https://www.wikidata.org/wiki/Q8441
13.220.1,False,False,True,36011,216.0,Asian Art,1913.0,Handscroll,明　佚名　舊傳夏珪　長江萬里圖　卷 (前半) |First half of Ten Thousand Li of the Yangzi River,China,Ming dynasty (1368–1644),,,,3750,Artist, ,Unidentified artist, ,", fake signature of Xia Gui (active ca. 1195–1230)",Unidentified artist, ,          ,          ,,,,late 15th century,1467,1499,Handscroll; ink and color on silk,Image: 23 3/8 in. × 17 ft. 1 3/8 in. (59.4 × 521.7 cm),"John Stewart Kennedy Fund, 1913",,,,,,,,,,,,Paintings,,http://www.metmuseum.org/art/collection/search/36011,https://www.wikidata.org/wiki/Q79000241,,"Metropolitan Museum of Art, New York, NY",Mountains|Landscapes,http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163
